Parameter,S1,S1_conf,ST,ST_conf
Ethane Conversion,0.5790505349509486,0.06254053023391117,0.6145207032790676,0.05487443566345526
Ethane Price,0.24968848431702448,0.04011191663514607,0.26464330573497546,0.025487087048392285
Ethylene Selectivity,0.11916937163262324,0.03804382003416666,0.14022928706981483,0.013759867048275745
Refrigeration Price,0.008971898892630002,0.008334688735018343,0.009058300825080936,0.0009531205386944214
Oxygen Price,0.00014923852647101156,0.0028556322392063412,0.0010249822417642595,0.0001229451292884744
C2H6 : O2 Feed Ratio,0.0008198660527253186,0.003097543030832197,0.0008966408970320208,0.00012043381878196544
Total CAPEX,9.262516108128239e-05,0.001405055921441182,0.00025377796042355726,2.9529683198768356e-05
Steam Price,0.00031578435916148506,0.0011471522838388533,0.0002466122399211084,2.9621250059265642e-05
Electricity Price,0.0001062105326874887,0.0012200118577626795,0.00016508753253799315,1.8615394579804286e-05
Discount Rate,0.00013028550212905617,0.0007607652477033056,8.307619990172648e-05,8.99450807127604e-06
Fixed O&M (% of CAPEX/yr),0.00017547462494415256,0.0007824805198416266,7.277919960572212e-05,7.716924847405851e-06
Operating Hours,4.444309427045337e-06,0.0003764600597972724,1.9532044064208817e-05,2.0762829414864385e-06
Plant Lifetime,1.3074080358556136e-05,0.00023573875948193729,8.818498635048844e-06,1.0317250164568268e-06
